sentence|tone|rater_order|current_rating
Are you feeling okay, you seem a bit off today?|encouraging|2|1
Are you feeling okay, you seem a bit off today?|encouraging|3|1
Are you feeling okay, you seem a bit off today?|encouraging|4|1
Are you feeling okay, you seem a bit off today?|excited|0|1
Are you feeling okay, you seem a bit off today?|excited|1|1
Are you feeling okay, you seem a bit off today?|excited|2|1
Are you feeling okay, you seem a bit off today?|excited|3|1
Are you feeling okay, you seem a bit off today?|excited|4|1
Are you feeling okay, you seem a bit off today?|friendly|0|3.5
Are you feeling okay, you seem a bit off today?|friendly|1|3
Are you feeling okay, you seem a bit off today?|friendly|2|4
Are you feeling okay, you seem a bit off today?|friendly|3|3.5
Are you feeling okay, you seem a bit off today?|friendly|4|4
Are you feeling okay, you seem a bit off today?|frustrated|0|1
Are you feeling okay, you seem a bit off today?|frustrated|1|1
Are you feeling okay, you seem a bit off today?|frustrated|2|1
Are you feeling okay, you seem a bit off today?|frustrated|3|1
Are you feeling okay, you seem a bit off today?|frustrated|4|1
Are you feeling okay, you seem a bit off today?|grateful|0|1
Are you feeling okay, you seem a bit off today?|grateful|1|1
Are you feeling okay, you seem a bit off today?|grateful|2|1
Are you feeling okay, you seem a bit off today?|grateful|3|1
Are you feeling okay, you seem a bit off today?|grateful|4|1
Are you feeling okay, you seem a bit off today?|happy|0|1
Are you feeling okay, you seem a bit off today?|happy|1|1
Are you feeling okay, you seem a bit off today?|happy|2|1
Are you feeling okay, you seem a bit off today?|happy|3|1
Are you feeling okay, you seem a bit off today?|happy|4|1
Are you feeling okay, you seem a bit off today?|indignant|0|1
Are you feeling okay, you seem a bit off today?|indignant|1|1
Are you feeling okay, you seem a bit off today?|indignant|2|1
Are you feeling okay, you seem a bit off today?|indignant|3|1
Are you feeling okay, you seem a bit off today?|indignant|4|1
Are you feeling okay, you seem a bit off today?|irritated|0|1
Are you feeling okay, you seem a bit off today?|irritated|1|1
Are you feeling okay, you seem a bit off today?|irritated|2|1
Are you feeling okay, you seem a bit off today?|irritated|3|1
Are you feeling okay, you seem a bit off today?|irritated|4|1
Are you feeling okay, you seem a bit off today?|joyful|0|1
Are you feeling okay, you seem a bit off today?|joyful|1|1
Are you feeling okay, you seem a bit off today?|joyful|2|1
Are you feeling okay, you seem a bit off today?|joyful|3|1
Are you feeling okay, you seem a bit off today?|joyful|4|1
Are you feeling okay, you seem a bit off today?|nostalgic|0|1
Are you feeling okay, you seem a bit off today?|nostalgic|1|1
Are you feeling okay, you seem a bit off today?|nostalgic|2|1
Are you feeling okay, you seem a bit off today?|nostalgic|3|1
Are you feeling okay, you seem a bit off today?|nostalgic|4|1
Are you feeling okay, you seem a bit off today?|pleased|0|1
Are you feeling okay, you seem a bit off today?|pleased|1|1
Are you feeling okay, you seem a bit off today?|pleased|2|1
Are you feeling okay, you seem a bit off today?|pleased|3|1
Are you feeling okay, you seem a bit off today?|pleased|4|1
Are you feeling okay, you seem a bit off today?|proud|0|1
Are you feeling okay, you seem a bit off today?|proud|1|1
Are you feeling okay, you seem a bit off today?|proud|2|1
Are you feeling okay, you seem a bit off today?|proud|3|1
Are you feeling okay, you seem a bit off today?|proud|4|1
Are you feeling okay, you seem a bit off today?|reassuring|0|2
Are you feeling okay, you seem a bit off today?|reassuring|1|2
Are you feeling okay, you seem a bit off today?|reassuring|2|2
Are you feeling okay, you seem a bit off today?|reassuring|3|2
Are you feeling okay, you seem a bit off today?|reassuring|4|2
Are you feeling okay, you seem a bit off today?|reflective|0|1
Are you feeling okay, you seem a bit off today?|reflective|1|1
Are you feeling okay, you seem a bit off today?|reflective|2|1
Are you feeling okay, you seem a bit off today?|reflective|3|1
Are you feeling okay, you seem a bit off today?|reflective|4|2
Are you feeling okay, you seem a bit off today?|relieved|0|2
Are you feeling okay, you seem a bit off today?|relieved|1|1
Are you feeling okay, you seem a bit off today?|relieved|2|2
Are you feeling okay, you seem a bit off today?|relieved|3|1
Are you feeling okay, you seem a bit off today?|relieved|4|2
Are you feeling okay, you seem a bit off today?|resigned|0|2
Are you feeling okay, you seem a bit off today?|resigned|1|1
Are you feeling okay, you seem a bit off today?|resigned|2|1
Are you feeling okay, you seem a bit off today?|resigned|3|2
Are you feeling okay, you seem a bit off today?|resigned|4|2
Are you feeling okay, you seem a bit off today?|sad|0|2
Are you feeling okay, you seem a bit off today?|sad|1|1
Are you feeling okay, you seem a bit off today?|sad|2|1
Are you feeling okay, you seem a bit off today?|sad|3|1
Are you feeling okay, you seem a bit off today?|sad|4|1
Are you feeling okay, you seem a bit off today?|sarcastic|0|1
Are you feeling okay, you seem a bit off today?|sarcastic|1|1
Are you feeling okay, you seem a bit off today?|sarcastic|2|1
Are you feeling okay, you seem a bit off today?|sarcastic|3|1
Are you feeling okay, you seem a bit off today?|sarcastic|4|1
Are you feeling okay, you seem a bit off today?|shocked|0|2
Are you feeling okay, you seem a bit off today?|shocked|1|2
Are you feeling okay, you seem a bit off today?|shocked|2|2
Are you feeling okay, you seem a bit off today?|shocked|3|2
Are you feeling okay, you seem a bit off today?|shocked|4|2
Are you feeling okay, you seem a bit off today?|skeptical|0|2
Are you feeling okay, you seem a bit off today?|skeptical|1|2
Are you feeling okay, you seem a bit off today?|skeptical|2|1
Are you feeling okay, you seem a bit off today?|skeptical|3|2
Are you feeling okay, you seem a bit off today?|skeptical|4|2
Are you feeling okay, you seem a bit off today?|surprised|0|2
Are you feeling okay, you seem a bit off today?|surprised|1|2
Are you feeling okay, you seem a bit off today?|surprised|2|3
Are you feeling okay, you seem a bit off today?|surprised|3|3
Are you feeling okay, you seem a bit off today?|surprised|4|3
Are you feeling okay, you seem a bit off today?|sympathetic|0|3
Are you feeling okay, you seem a bit off today?|sympathetic|1|4
Are you feeling okay, you seem a bit off today?|sympathetic|2|4
Are you feeling okay, you seem a bit off today?|sympathetic|3|3.5
Are you feeling okay, you seem a bit off today?|sympathetic|4|4
Are you feeling okay, you seem a bit off today?|thankful|0|1
Are you feeling okay, you seem a bit off today?|thankful|1|1
Are you feeling okay, you seem a bit off today?|thankful|2|1
Are you feeling okay, you seem a bit off today?|thankful|3|1
Are you feeling okay, you seem a bit off today?|thankful|4|1
Are you feeling okay, you seem a bit off today?|uncertain|0|4
Are you feeling okay, you seem a bit off today?|uncertain|1|3.5
Are you feeling okay, you seem a bit off today?|uncertain|2|4
Are you feeling okay, you seem a bit off today?|uncertain|3|4
Are you feeling okay, you seem a bit off today?|uncertain|4|4
Are you feeling okay, you seem a bit off today?|urgent|0|1
Are you feeling okay, you seem a bit off today?|urgent|1|2
Are you feeling okay, you seem a bit off today?|urgent|2|2
Are you feeling okay, you seem a bit off today?|urgent|3|1
Are you feeling okay, you seem a bit off today?|urgent|4|2
Are you feeling okay, you seem a bit off today?|worried|0|4
Are you feeling okay, you seem a bit off today?|worried|1|4
Are you feeling okay, you seem a bit off today?|worried|2|4
Are you feeling okay, you seem a bit off today?|worried|3|3.5
Are you feeling okay, you seem a bit off today?|worried|4|3
Do you really expect me to believe that?|admiring|0|1
Do you really expect me to believe that?|admiring|1|1
Do you really expect me to believe that?|admiring|2|1
Do you really expect me to believe that?|admiring|3|1
Do you really expect me to believe that?|admiring|4|1
Do you really expect me to believe that?|affectionate|0|1
Do you really expect me to believe that?|affectionate|1|1
Do you really expect me to believe that?|affectionate|2|1
Do you really expect me to believe that?|affectionate|3|1
Do you really expect me to believe that?|affectionate|4|1
Do you really expect me to believe that?|angry|0|3
Do you really expect me to believe that?|angry|1|3
Do you really expect me to believe that?|angry|2|3
Do you really expect me to believe that?|angry|3|3.5
Do you really expect me to believe that?|angry|4|4
Do you really expect me to believe that?|annoyed|0|5
Do you really expect me to believe that?|annoyed|1|4
Do you really expect me to believe that?|annoyed|2|4
Do you really expect me to believe that?|annoyed|3|5
Do you really expect me to believe that?|annoyed|4|4
Do you really expect me to believe that?|anxious|0|1
Do you really expect me to believe that?|anxious|1|2
Do you really expect me to believe that?|anxious|2|2
Do you really expect me to believe that?|anxious|3|2
Do you really expect me to believe that?|anxious|4|2
Do you really expect me to believe that?|apologetic|0|1
Do you really expect me to believe that?|apologetic|1|1
Do you really expect me to believe that?|apologetic|2|1
Do you really expect me to believe that?|apologetic|3|1
Do you really expect me to believe that?|apologetic|4|1
Do you really expect me to believe that?|appreciative|0|1
Do you really expect me to believe that?|appreciative|1|1
Do you really expect me to believe that?|appreciative|2|1
Do you really expect me to believe that?|appreciative|3|1
Do you really expect me to believe that?|appreciative|4|1
Do you really expect me to believe that?|concerned|0|2
Do you really expect me to believe that?|concerned|1|3
Do you really expect me to believe that?|concerned|2|2
Do you really expect me to believe that?|concerned|3|2
Do you really expect me to believe that?|concerned|4|2
Do you really expect me to believe that?|confused|0|2
Do you really expect me to believe that?|confused|1|2
Do you really expect me to believe that?|confused|2|2
Do you really expect me to believe that?|confused|3|2
Do you really expect me to believe that?|confused|4|2
Do you really expect me to believe that?|curious|0|4
Do you really expect me to believe that?|curious|1|4
Do you really expect me to believe that?|curious|2|3
Do you really expect me to believe that?|curious|3|4
Do you really expect me to believe that?|curious|4|3
Do you really expect me to believe that?|defensive|0|5
Do you really expect me to believe that?|defensive|1|5
Do you really expect me to believe that?|defensive|2|5
Do you really expect me to believe that?|defensive|3|5
Do you really expect me to believe that?|defensive|4|5
Do you really expect me to believe that?|descriptive|0|1
Do you really expect me to believe that?|descriptive|1|1
Do you really expect me to believe that?|descriptive|2|1
Do you really expect me to believe that?|descriptive|3|1
Do you really expect me to believe that?|descriptive|4|1
Do you really expect me to believe that?|desperate|0|2
Do you really expect me to believe that?|desperate|1|2
Do you really expect me to believe that?|desperate|2|2
Do you really expect me to believe that?|desperate|3|2
Do you really expect me to believe that?|desperate|4|2
Do you really expect me to believe that?|disappointed|0|4
Do you really expect me to believe that?|disappointed|1|4
Do you really expect me to believe that?|disappointed|2|4
Do you really expect me to believe that?|disappointed|3|4
Do you really expect me to believe that?|disappointed|4|5
Do you really expect me to believe that?|encouraging|0|1
Do you really expect me to believe that?|encouraging|1|1
Do you really expect me to believe that?|encouraging|2|1
Do you really expect me to believe that?|encouraging|3|1
Do you really expect me to believe that?|encouraging|4|1
Do you really expect me to believe that?|excited|0|1
Do you really expect me to believe that?|excited|1|1
Do you really expect me to believe that?|excited|2|1
Do you really expect me to believe that?|excited|3|1
Do you really expect me to believe that?|excited|4|1
Do you really expect me to believe that?|friendly|0|1
Do you really expect me to believe that?|friendly|1|1
Do you really expect me to believe that?|friendly|2|1
Do you really expect me to believe that?|friendly|3|1
Do you really expect me to believe that?|friendly|4|1
Do you really expect me to believe that?|frustrated|0|4
Do you really expect me to believe that?|frustrated|1|4
Do you really expect me to believe that?|frustrated|2|4
Do you really expect me to believe that?|frustrated|3|4
Do you really expect me to believe that?|frustrated|4|4
Do you really expect me to believe that?|grateful|0|1
Do you really expect me to believe that?|grateful|1|1
Do you really expect me to believe that?|grateful|2|1
Do you really expect me to believe that?|grateful|3|1
Do you really expect me to believe that?|grateful|4|1
Do you really expect me to believe that?|happy|0|1
Do you really expect me to believe that?|happy|1|1
Do you really expect me to believe that?|happy|2|1
Do you really expect me to believe that?|happy|3|1
Do you really expect me to believe that?|happy|4|1
Do you really expect me to believe that?|indignant|0|4
Do you really expect me to believe that?|indignant|1|4
Do you really expect me to believe that?|indignant|2|5
Do you really expect me to believe that?|indignant|3|5
Do you really expect me to believe that?|indignant|4|5
Do you really expect me to believe that?|irritated|0|4
Do you really expect me to believe that?|irritated|1|4
Do you really expect me to believe that?|irritated|2|4
Do you really expect me to believe that?|irritated|3|4
Do you really expect me to believe that?|irritated|4|4
Do you really expect me to believe that?|joyful|0|1
Do you really expect me to believe that?|joyful|1|1
Do you really expect me to believe that?|joyful|2|1
Do you really expect me to believe that?|joyful|3|1
Do you really expect me to believe that?|joyful|4|1
Do you really expect me to believe that?|nostalgic|0|1
Do you really expect me to believe that?|nostalgic|1|1
Do you really expect me to believe that?|nostalgic|2|1
Do you really expect me to believe that?|nostalgic|3|1
Do you really expect me to believe that?|nostalgic|4|1
Do you really expect me to believe that?|pleased|0|1
Do you really expect me to believe that?|pleased|1|1
Do you really expect me to believe that?|pleased|2|1
Do you really expect me to believe that?|pleased|3|1
Do you really expect me to believe that?|pleased|4|1
Do you really expect me to believe that?|proud|0|1
Do you really expect me to believe that?|proud|1|1
Do you really expect me to believe that?|proud|2|1
Do you really expect me to believe that?|proud|3|1
Do you really expect me to believe that?|proud|4|1
Do you really expect me to believe that?|reassuring|0|1
Do you really expect me to believe that?|reassuring|1|1
Do you really expect me to believe that?|reassuring|2|1
Do you really expect me to believe that?|reassuring|3|1
Do you really expect me to believe that?|reassuring|4|1
Do you really expect me to believe that?|reflective|0|1
Do you really expect me to believe that?|reflective|1|1
Do you really expect me to believe that?|reflective|2|1
Do you really expect me to believe that?|reflective|3|1
Do you really expect me to believe that?|reflective|4|1
Do you really expect me to believe that?|relieved|0|1
Do you really expect me to believe that?|relieved|1|1
Do you really expect me to believe that?|relieved|2|1
Do you really expect me to believe that?|relieved|3|1
Do you really expect me to believe that?|relieved|4|1
Do you really expect me to believe that?|resigned|0|2
Do you really expect me to believe that?|resigned|1|3
Do you really expect me to believe that?|resigned|2|2
Do you really expect me to believe that?|resigned|3|2
Do you really expect me to believe that?|resigned|4|2
Do you really expect me to believe that?|sad|0|1
Do you really expect me to believe that?|sad|1|1
Do you really expect me to believe that?|sad|2|1
Do you really expect me to believe that?|sad|3|1
Do you really expect me to believe that?|sad|4|1
Do you really expect me to believe that?|sarcastic|0|4
Do you really expect me to believe that?|sarcastic|1|4
Do you really expect me to believe that?|sarcastic|2|5
Do you really expect me to believe that?|sarcastic|3|5
Do you really expect me to believe that?|sarcastic|4|4
Do you really expect me to believe that?|shocked|0|3
Do you really expect me to believe that?|shocked|1|4
Do you really expect me to believe that?|shocked|2|4
Do you really expect me to believe that?|shocked|3|4
Do you really expect me to believe that?|shocked|4|4
Do you really expect me to believe that?|skeptical|0|5
Do you really expect me to believe that?|skeptical|1|5
Do you really expect me to believe that?|skeptical|2|5
Do you really expect me to believe that?|skeptical|3|5
Do you really expect me to believe that?|skeptical|4|5
Do you really expect me to believe that?|surprised|0|4
Do you really expect me to believe that?|surprised|1|4
Do you really expect me to believe that?|surprised|2|4
Do you really expect me to believe that?|surprised|3|4
Do you really expect me to believe that?|surprised|4|4
Do you really expect me to believe that?|sympathetic|0|1
Do you really expect me to believe that?|sympathetic|1|1
Do you really expect me to believe that?|sympathetic|2|1
Do you really expect me to believe that?|sympathetic|3|1
Do you really expect me to believe that?|sympathetic|4|1
Do you really expect me to believe that?|thankful|0|1
Do you really expect me to believe that?|thankful|1|1
Do you really expect me to believe that?|thankful|2|1
Do you really expect me to believe that?|thankful|3|1
Do you really expect me to believe that?|thankful|4|1
Do you really expect me to believe that?|uncertain|0|4
Do you really expect me to believe that?|uncertain|1|4
Do you really expect me to believe that?|uncertain|2|4
Do you really expect me to believe that?|uncertain|3|4
Do you really expect me to believe that?|uncertain|4|4
Do you really expect me to believe that?|urgent|0|2
Do you really expect me to believe that?|urgent|1|1
Do you really expect me to believe that?|urgent|2|2
Do you really expect me to believe that?|urgent|3|2
Do you really expect me to believe that?|urgent|4|2
Do you really expect me to believe that?|worried|0|2
Do you really expect me to believe that?|worried|1|2
Do you really expect me to believe that?|worried|2|2
Do you really expect me to believe that?|worried|3|2
Do you really expect me to believe that?|worried|4|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|admiring|0|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|admiring|1|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|admiring|2|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|admiring|3|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|admiring|4|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|affectionate|0|5
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|affectionate|1|5
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|affectionate|2|4
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|affectionate|3|4
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|affectionate|4|4
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|angry|0|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|angry|1|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|angry|2|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|angry|3|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|angry|4|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|annoyed|0|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|annoyed|1|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|annoyed|2|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|annoyed|3|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|annoyed|4|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|anxious|0|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|anxious|1|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|anxious|2|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|anxious|3|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|anxious|4|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|apologetic|0|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|apologetic|1|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|apologetic|2|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|apologetic|3|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|apologetic|4|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|appreciative|0|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|appreciative|1|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|appreciative|2|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|appreciative|3|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|appreciative|4|2
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|concerned|0|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|concerned|1|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|concerned|2|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|concerned|3|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|concerned|4|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|confused|0|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|confused|1|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|confused|2|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|confused|3|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|confused|4|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|curious|0|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|curious|1|2
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|curious|2|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|curious|3|2
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|curious|4|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|defensive|0|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|defensive|1|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|defensive|2|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|defensive|3|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|defensive|4|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|descriptive|0|4
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|descriptive|1|5
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|descriptive|2|5
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|descriptive|3|4
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|descriptive|4|5
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|desperate|0|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|desperate|1|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|desperate|2|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|desperate|3|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|desperate|4|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|disappointed|0|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|disappointed|1|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|disappointed|2|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|disappointed|3|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|disappointed|4|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|encouraging|0|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|encouraging|1|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|encouraging|2|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|encouraging|3|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|encouraging|4|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|excited|0|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|excited|1|2
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|excited|2|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|excited|3|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|excited|4|2
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|friendly|0|4
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|friendly|1|5
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|friendly|2|5
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|friendly|3|4
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|friendly|4|5
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|frustrated|0|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|frustrated|1|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|frustrated|2|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|frustrated|3|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|frustrated|4|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|grateful|0|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|grateful|1|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|grateful|2|1
Do you remember those endless summers we spent at grandma's lake house, fishing and telling stories around the campfire?|grateful|3|1
