awaiting_async_process,vars,id,creation_time,failed,failed_reason,time_of_death,type,network_id,participant_id,trial_maker_id,module_id,_on_create_called,_on_deploy_called,ready_for_trials,key,degree,child_id,parent_id,seed,definition,context,participant_group,block,propagate_failure,n_viable_trials,class,object_type
False,{},48,2023-08-04 11:58:33,False,,,TrialSource,48,,SRE_chain,SRE_chain,True,False,True,,0,259.0,,{},"{""previous_sample"": {""obtained_response"": ""shocking"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},49,2023-08-04 11:58:33,False,,,TrialSource,49,,SRE_chain,SRE_chain,True,False,True,,0,157.0,,{},"{""previous_sample"": {""obtained_response"": ""surprised"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},50,2023-08-04 11:58:33,False,,,TrialSource,50,,SRE_chain,SRE_chain,True,False,True,,0,168.0,,{},"{""previous_sample"": {""obtained_response"": ""sorry"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},51,2023-08-04 11:58:33,False,,,TrialSource,51,,SRE_chain,SRE_chain,True,False,True,,0,95.0,,{},"{""previous_sample"": {""obtained_response"": ""supportive"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},52,2023-08-04 11:58:33,False,,,TrialSource,52,,SRE_chain,SRE_chain,True,False,True,,0,162.0,,{},"{""previous_sample"": {""obtained_response"": ""optimistic"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},53,2023-08-04 11:58:33,False,,,TrialSource,53,,SRE_chain,SRE_chain,True,False,True,,0,278.0,,{},"{""previous_sample"": {""obtained_response"": ""assertive"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},54,2023-08-04 11:58:33,False,,,TrialSource,54,,SRE_chain,SRE_chain,True,False,True,,0,126.0,,{},"{""previous_sample"": {""obtained_response"": ""negative"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},55,2023-08-04 11:58:33,False,,,TrialSource,55,,SRE_chain,SRE_chain,True,False,True,,0,156.0,,{},"{""previous_sample"": {""obtained_response"": ""excited"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},56,2023-08-04 11:58:33,False,,,TrialSource,56,,SRE_chain,SRE_chain,True,False,True,,0,236.0,,{},"{""previous_sample"": {""obtained_response"": ""observant"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},57,2023-08-04 11:58:33,False,,,TrialSource,57,,SRE_chain,SRE_chain,True,False,True,,0,171.0,,{},"{""previous_sample"": {""obtained_response"": ""hurt"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},58,2023-08-04 11:58:33,False,,,TrialSource,58,,SRE_chain,SRE_chain,True,False,True,,0,113.0,,{},"{""previous_sample"": {""obtained_response"": ""triumphant"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},59,2023-08-04 11:58:33,False,,,TrialSource,59,,SRE_chain,SRE_chain,True,False,True,,0,252.0,,{},"{""previous_sample"": {""obtained_response"": ""happy"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},60,2023-08-04 11:58:33,False,,,TrialSource,60,,SRE_chain,SRE_chain,True,False,True,,0,119.0,,{},"{""previous_sample"": {""obtained_response"": ""thrilled"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},61,2023-08-04 11:58:33,False,,,TrialSource,61,,SRE_chain,SRE_chain,True,False,True,,0,246.0,,{},"{""previous_sample"": {""obtained_response"": ""appreciative"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},62,2023-08-04 11:58:33,False,,,TrialSource,62,,SRE_chain,SRE_chain,True,False,True,,0,187.0,,{},"{""previous_sample"": {""obtained_response"": ""determined"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},63,2023-08-04 11:58:33,False,,,TrialSource,63,,SRE_chain,SRE_chain,True,False,True,,0,200.0,,{},"{""previous_sample"": {""obtained_response"": ""excited"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},64,2023-08-04 11:58:33,False,,,TrialSource,64,,SRE_chain,SRE_chain,True,False,True,,0,133.0,,{},"{""previous_sample"": {""obtained_response"": ""regretful"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},65,2023-08-04 11:58:33,False,,,TrialSource,65,,SRE_chain,SRE_chain,True,False,True,,0,102.0,,{},"{""previous_sample"": {""obtained_response"": ""complementary"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},66,2023-08-04 11:58:33,False,,,TrialSource,66,,SRE_chain,SRE_chain,True,False,True,,0,391.0,,{},"{""previous_sample"": {""obtained_response"": ""furious"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},67,2023-08-04 11:58:33,False,,,TrialSource,67,,SRE_chain,SRE_chain,True,False,True,,0,155.0,,{},"{""previous_sample"": {""obtained_response"": ""confident"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},68,2023-08-04 11:58:33,False,,,TrialSource,68,,SRE_chain,SRE_chain,True,False,True,,0,149.0,,{},"{""previous_sample"": {""obtained_response"": ""skeptical"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},69,2023-08-04 11:58:33,False,,,TrialSource,69,,SRE_chain,SRE_chain,True,False,True,,0,97.0,,{},"{""previous_sample"": {""obtained_response"": ""content"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},70,2023-08-04 11:58:33,False,,,TrialSource,70,,SRE_chain,SRE_chain,True,False,True,,0,255.0,,{},"{""previous_sample"": {""obtained_response"": ""praising"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},71,2023-08-04 11:58:33,False,,,TrialSource,71,,SRE_chain,SRE_chain,True,False,True,,0,184.0,,{},"{""previous_sample"": {""obtained_response"": ""livid"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},72,2023-08-04 11:58:33,False,,,TrialSource,72,,SRE_chain,SRE_chain,True,False,True,,0,123.0,,{},"{""previous_sample"": {""obtained_response"": ""frustrated"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},73,2023-08-04 11:58:33,False,,,TrialSource,73,,SRE_chain,SRE_chain,True,False,True,,0,153.0,,{},"{""previous_sample"": {""obtained_response"": ""angry"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},74,2023-08-04 11:58:33,False,,,TrialSource,74,,SRE_chain,SRE_chain,True,False,True,,0,99.0,,{},"{""previous_sample"": {""obtained_response"": ""proud"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},75,2023-08-04 11:58:33,False,,,TrialSource,75,,SRE_chain,SRE_chain,True,False,True,,0,285.0,,{},"{""previous_sample"": {""obtained_response"": ""grateful"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},76,2023-08-04 11:58:33,False,,,TrialSource,76,,SRE_chain,SRE_chain,True,False,True,,0,222.0,,{},"{""previous_sample"": {""obtained_response"": ""angry"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},77,2023-08-04 11:58:33,False,,,TrialSource,77,,SRE_chain,SRE_chain,True,False,True,,0,111.0,,{},"{""previous_sample"": {""obtained_response"": ""ecstatic"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},78,2023-08-04 11:58:33,False,,,TrialSource,78,,SRE_chain,SRE_chain,True,False,True,,0,118.0,,{},"{""previous_sample"": {""obtained_response"": ""vexed"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},79,2023-08-04 11:58:33,False,,,TrialSource,79,,SRE_chain,SRE_chain,True,False,True,,0,117.0,,{},"{""previous_sample"": {""obtained_response"": ""surprised"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},80,2023-08-04 11:58:33,False,,,TrialSource,80,,SRE_chain,SRE_chain,True,False,True,,0,142.0,,{},"{""previous_sample"": {""obtained_response"": ""surprising"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},81,2023-08-04 11:58:33,False,,,TrialSource,81,,SRE_chain,SRE_chain,True,False,True,,0,405.0,,{},"{""previous_sample"": {""obtained_response"": ""affectionate"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},82,2023-08-04 11:58:33,False,,,TrialSource,82,,SRE_chain,SRE_chain,True,False,True,,0,129.0,,{},"{""previous_sample"": {""obtained_response"": ""anticipated"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},83,2023-08-04 11:58:33,False,,,TrialSource,83,,SRE_chain,SRE_chain,True,False,True,,0,247.0,,{},"{""previous_sample"": {""obtained_response"": ""delighted"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},84,2023-08-04 11:58:33,False,,,TrialSource,84,,SRE_chain,SRE_chain,True,False,True,,0,145.0,,{},"{""previous_sample"": {""obtained_response"": ""appreciated"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},85,2023-08-04 11:58:33,False,,,TrialSource,85,,SRE_chain,SRE_chain,True,False,True,,0,150.0,,{},"{""previous_sample"": {""obtained_response"": ""informative"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},86,2023-08-04 11:58:33,False,,,TrialSource,86,,SRE_chain,SRE_chain,True,False,True,,0,237.0,,{},"{""previous_sample"": {""obtained_response"": ""concerned"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},87,2023-08-04 11:58:33,False,,,TrialSource,87,,SRE_chain,SRE_chain,True,False,True,,0,136.0,,{},"{""previous_sample"": {""obtained_response"": ""dependable"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},88,2023-08-04 11:58:33,False,,,TrialSource,88,,SRE_chain,SRE_chain,True,False,True,,0,183.0,,{},"{""previous_sample"": {""obtained_response"": ""upset"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},89,2023-08-04 11:58:33,False,,,TrialSource,89,,SRE_chain,SRE_chain,True,False,True,,0,203.0,,{},"{""previous_sample"": {""obtained_response"": ""calm"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},90,2023-08-04 11:58:33,False,,,TrialSource,90,,SRE_chain,SRE_chain,True,False,True,,0,174.0,,{},"{""previous_sample"": {""obtained_response"": ""romantic"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},91,2023-08-04 11:58:33,False,,,TrialSource,91,,SRE_chain,SRE_chain,True,False,True,,0,141.0,,{},"{""previous_sample"": {""obtained_response"": ""thankful"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},92,2023-08-04 11:58:33,False,,,TrialSource,92,,SRE_chain,SRE_chain,True,False,True,,0,238.0,,{},"{""previous_sample"": {""obtained_response"": ""appreciative"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,False,1,SRENode,Node
False,{},93,2023-08-04 10:12:26,False,,,SRENode,1,,SREPractice,SREPractice,True,True,True,,1,96.0,1.0,"{""previous_sample"": {""obtained_response"": ""suspicious"", ""current_mode"": ""s""}, ""current_mode"": ""s""}","{""previous_sample"": {""obtained_response"": ""suspicious"", ""current_mode"": ""s""}, ""current_mode"": ""s""}",,default,default,True,1,SRENode,Node
False,{},94,2023-08-04 10:12:36,False,,,SRENode,2,,SREPractice,SREPractice,True,True,True,,1,100.0,2.0,"{""previous_sample"": {""obtained_response"": ""On the 4th July every year it is American Independence Day."", ""current_mode"": ""c""}, ""current_mode"": ""c""}","{""previous_sample"": {""obtained_response"": ""On the 4th July every year it is American Independence Day."", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,True,1,SRENode,Node
False,{},95,2023-08-04 10:12:59,False,,,SRENode,51,,SRE_chain,SRE_chain,True,True,True,,1,106.0,51.0,"{""previous_sample"": {""obtained_response"": ""I believe you can do it!"", ""current_mode"": ""c""}, ""current_mode"": ""c""}","{""previous_sample"": {""obtained_response"": ""I believe you can do it!"", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,True,1,SRENode,Node
False,{},96,2023-08-04 10:13:15,False,,,SRENode,1,,SREPractice,SREPractice,True,True,True,,2,103.0,93.0,"{""previous_sample"": {""obtained_response"": ""Hi, can you tell me what you are doing please?"", ""current_mode"": ""c""}, ""current_mode"": ""c""}","{""previous_sample"": {""obtained_response"": ""Hi, can you tell me what you are doing please?"", ""current_mode"": ""c""}, ""current_mode"": ""c""}",,default,default,True,1,SRENode,Node
