_initial_assets,awaiting_async_process,vars,id,creation_time,failed,failed_reason,time_of_death,type,origin_id,network_id,complete,node_id,participant_id,module_state_id,trial_maker_id,definition,finalized,is_repeat_trial,score,bonus,parent_trial_id,answer,propagate_failure,response_id,repeat_trial_index,n_repeat_trials,time_taken,time_credit_before_trial,time_credit_after_trial,time_credit_from_trial,block_position,block,class,object_type,word_1,word_2,idx_1,idx_2,order
{},False,{},11,2023-12-15 23:11:14,False,,,EvaluationTrial,231,231,True,231,2,1,evaluations,"{""id"": 230, ""word_1"": ""appreciative"", ""word_2"": ""descriptive"", ""idx_1"": 6, ""idx_2"": 11, ""order"": 1}",True,False,,0.0,,4,True,25.0,,,1.271,139.0,145.5,6.5,0,default,EvaluationTrial,Info,appreciative,descriptive,6,11,1
{},False,{},12,2023-12-15 23:11:15,False,,,EvaluationTrial,682,682,True,682,1,2,evaluations,"{""id"": 681, ""word_1"": ""nostalgic"", ""word_2"": ""uncertain"", ""idx_1"": 23, ""idx_2"": 37, ""order"": 1}",True,False,,0.0,,1,True,31.0,,,14.429,126.0,132.5,6.5,0,default,EvaluationTrial,Info,nostalgic,uncertain,23,37,1
{},False,{},13,2023-12-15 23:11:16,False,,,EvaluationTrial,311,311,True,311,2,1,evaluations,"{""id"": 310, ""word_1"": ""confused"", ""word_2"": ""reassuring"", ""idx_1"": 8, ""idx_2"": 26, ""order"": 0}",True,False,,0.0,,2,True,26.0,,,1.672,145.5,152.0,6.5,0,default,EvaluationTrial,Info,confused,reassuring,8,26,0
{},False,{},14,2023-12-15 23:11:19,False,,,EvaluationTrial,760,760,True,760,2,1,evaluations,"{""id"": 759, ""word_1"": ""resigned"", ""word_2"": ""surprised"", ""idx_1"": 29, ""idx_2"": 34, ""order"": 1}",True,False,,0.0,,4,True,27.0,,,5.424,152.0,158.5,6.5,0,default,EvaluationTrial,Info,resigned,surprised,29,34,1
{},False,{},15,2023-12-15 23:11:26,False,,,EvaluationTrial,16,16,True,16,2,1,evaluations,"{""id"": 15, ""word_1"": ""admiring"", ""word_2"": ""excited"", ""idx_1"": 0, ""idx_2"": 15, ""order"": 1}",True,False,,0.0,,4,True,29.0,,,0.546,158.5,165.0,6.5,0,default,EvaluationTrial,Info,admiring,excited,0,15,1
{},False,{},16,2023-12-15 23:11:28,False,,,EvaluationTrial,171,171,True,171,2,1,evaluations,"{""id"": 170, ""word_1"": ""anxious"", ""word_2"": ""indignant"", ""idx_1"": 4, ""idx_2"": 20, ""order"": 0}",True,False,,0.0,,4,True,30.0,,,1.116,165.0,171.5,6.5,0,default,EvaluationTrial,Info,anxious,indignant,4,20,0
{},False,{},17,2023-12-15 23:11:30,False,,,EvaluationTrial,163,163,True,163,2,1,evaluations,"{""id"": 162, ""word_1"": ""anxious"", ""word_2"": ""desperate"", ""idx_1"": 4, ""idx_2"": 12, ""order"": 1}",True,False,,0.0,,5,True,32.0,,,1.417,171.5,178.0,6.5,0,default,EvaluationTrial,Info,anxious,desperate,4,12,1
{},False,{},18,2023-12-15 23:11:31,False,,,EvaluationTrial,15,15,True,15,1,2,evaluations,"{""id"": 14, ""word_1"": ""admiring"", ""word_2"": ""encouraging"", ""idx_1"": 0, ""idx_2"": 14, ""order"": 1}",True,False,,0.0,,4,True,34.0,,,4.285,132.5,139.0,6.5,0,default,EvaluationTrial,Info,admiring,encouraging,0,14,1
{},False,{},19,2023-12-15 23:11:33,False,,,EvaluationTrial,275,275,True,275,2,1,evaluations,"{""id"": 274, ""word_1"": ""concerned"", ""word_2"": ""joyful"", ""idx_1"": 7, ""idx_2"": 22, ""order"": 1}",True,False,,0.0,,1,True,33.0,,,1.471,178.0,184.5,6.5,0,default,EvaluationTrial,Info,concerned,joyful,7,22,1
{},False,{},20,2023-12-15 23:11:35,False,,,EvaluationTrial,183,183,True,183,2,1,evaluations,"{""id"": 182, ""word_1"": ""anxious"", ""word_2"": ""shocked"", ""idx_1"": 4, ""idx_2"": 32, ""order"": 1}",True,False,,0.0,,5,True,36.0,,,1.242,184.5,191.0,6.5,0,default,EvaluationTrial,Info,anxious,shocked,4,32,1
{},False,{},21,2023-12-15 23:11:36,False,,,EvaluationTrial,146,146,True,146,1,2,evaluations,"{""id"": 145, ""word_1"": ""annoyed"", ""word_2"": ""sarcastic"", ""idx_1"": 3, ""idx_2"": 31, ""order"": 1}",True,False,,0.0,,4,True,38.0,,,3.814,139.0,145.5,6.5,0,default,EvaluationTrial,Info,annoyed,sarcastic,3,31,1
{},False,{},22,2023-12-15 23:11:38,False,,,EvaluationTrial,372,372,True,372,2,1,evaluations,"{""id"": 371, ""word_1"": ""defensive"", ""word_2"": ""reassuring"", ""idx_1"": 10, ""idx_2"": 26, ""order"": 0}",True,False,,0.0,,1,True,37.0,,,1.912,191.0,197.5,6.5,0,default,EvaluationTrial,Info,defensive,reassuring,10,26,0
{},False,{},23,2023-12-15 23:11:41,False,,,EvaluationTrial,390,390,True,390,2,1,evaluations,"{""id"": 389, ""word_1"": ""descriptive"", ""word_2"": ""excited"", ""idx_1"": 11, ""idx_2"": 15, ""order"": 1}",True,False,,0.0,,4,True,40.0,,,0.618,197.5,204.0,6.5,0,default,EvaluationTrial,Info,descriptive,excited,11,15,1
{},False,{},24,2023-12-15 23:11:41,False,,,EvaluationTrial,540,540,True,540,1,2,evaluations,"{""id"": 539, ""word_1"": ""friendly"", ""word_2"": ""sympathetic"", ""idx_1"": 16, ""idx_2"": 35, ""order"": 0}",True,False,,0.0,,4,True,43.0,,,4.434,145.5,152.0,6.5,0,default,EvaluationTrial,Info,friendly,sympathetic,16,35,0
{},False,{},25,2023-12-15 23:11:43,False,,,EvaluationTrial,296,296,True,296,2,1,evaluations,"{""id"": 295, ""word_1"": ""confused"", ""word_2"": ""descriptive"", ""idx_1"": 8, ""idx_2"": 11, ""order"": 1}",True,False,,0.0,,2,True,42.0,,,1.331,204.0,210.5,6.5,0,default,EvaluationTrial,Info,confused,descriptive,8,11,1
{},False,{},26,2023-12-15 23:11:46,False,,,EvaluationTrial,35,35,True,35,2,1,evaluations,"{""id"": 34, ""word_1"": ""admiring"", ""word_2"": ""surprised"", ""idx_1"": 0, ""idx_2"": 34, ""order"": 1}",True,False,,0.0,,4,True,45.0,,,2.537,210.5,217.0,6.5,0,default,EvaluationTrial,Info,admiring,surprised,0,34,1
{},False,{},27,2023-12-15 23:11:47,False,,,EvaluationTrial,366,366,True,366,1,2,evaluations,"{""id"": 365, ""word_1"": ""defensive"", ""word_2"": ""indignant"", ""idx_1"": 10, ""idx_2"": 20, ""order"": 0}",True,False,,0.0,,5,True,46.0,,,2.604,152.0,158.5,6.5,0,default,EvaluationTrial,Info,defensive,indignant,10,20,0
{},False,{},28,2023-12-15 23:11:49,False,,,EvaluationTrial,555,555,True,555,2,1,evaluations,"{""id"": 554, ""word_1"": ""frustrated"", ""word_2"": ""reflective"", ""idx_1"": 17, ""idx_2"": 27, ""order"": 1}",True,False,,0.0,,4,True,47.0,,,2.66,217.0,223.5,6.5,0,default,EvaluationTrial,Info,frustrated,reflective,17,27,1
{},False,{},29,2023-12-15 23:11:50,False,,,EvaluationTrial,433,433,True,433,1,2,evaluations,"{""id"": 432, ""word_1"": ""desperate"", ""word_2"": ""sad"", ""idx_1"": 12, ""idx_2"": 30, ""order"": 0}",True,False,,0.0,,4,True,48.0,,,2.772,158.5,165.0,6.5,0,default,EvaluationTrial,Info,desperate,sad,12,30,0
{},False,{},30,2023-12-15 23:11:53,False,,,EvaluationTrial,547,547,True,547,2,1,evaluations,"{""id"": 546, ""word_1"": ""frustrated"", ""word_2"": ""happy"", ""idx_1"": 17, ""idx_2"": 19, ""order"": 1}",True,False,,0.0,,1,True,49.0,,,1.333,223.5,230.0,6.5,0,default,EvaluationTrial,Info,frustrated,happy,17,19,1
{},False,{},31,2023-12-15 23:11:54,False,,,EvaluationTrial,622,622,True,622,1,2,evaluations,"{""id"": 621, ""word_1"": ""indignant"", ""word_2"": ""sarcastic"", ""idx_1"": 20, ""idx_2"": 31, ""order"": 0}",True,False,,0.0,,4,True,52.0,,,2.858,165.0,171.5,6.5,0,default,EvaluationTrial,Info,indignant,sarcastic,20,31,0
{},False,{},32,2023-12-15 23:11:56,False,,,EvaluationTrial,479,479,True,479,2,1,evaluations,"{""id"": 478, ""word_1"": ""encouraging"", ""word_2"": ""nostalgic"", ""idx_1"": 14, ""idx_2"": 23, ""order"": 1}",True,False,,0.0,,5,True,53.0,,,1.411,230.0,236.5,6.5,0,default,EvaluationTrial,Info,encouraging,nostalgic,14,23,1
{},False,{},33,2023-12-15 23:11:57,False,,,EvaluationTrial,182,182,True,182,3,3,evaluations,"{""id"": 181, ""word_1"": ""anxious"", ""word_2"": ""sarcastic"", ""idx_1"": 4, ""idx_2"": 31, ""order"": 0}",True,False,,0.0,,4,True,67.0,,,16.277,100.0,106.5,6.5,0,default,EvaluationTrial,Info,anxious,sarcastic,4,31,0
{},False,{},34,2023-12-15 23:11:58,False,,,EvaluationTrial,216,216,True,216,1,2,evaluations,"{""id"": 215, ""word_1"": ""apologetic"", ""word_2"": ""sad"", ""idx_1"": 5, ""idx_2"": 30, ""order"": 1}",True,False,,0.0,,3,True,57.0,,,3.916,171.5,178.0,6.5,0,default,EvaluationTrial,Info,apologetic,sad,5,30,1
{},False,{},35,2023-12-15 23:11:59,False,,,EvaluationTrial,243,243,True,243,2,1,evaluations,"{""id"": 242, ""word_1"": ""appreciative"", ""word_2"": ""nostalgic"", ""idx_1"": 6, ""idx_2"": 23, ""order"": 1}",True,False,,0.0,,5,True,54.0,,,0.65,236.5,243.0,6.5,0,default,EvaluationTrial,Info,appreciative,nostalgic,6,23,1
{},False,{},36,2023-12-15 23:12:01,False,,,EvaluationTrial,772,772,True,772,2,1,evaluations,"{""id"": 771, ""word_1"": ""sad"", ""word_2"": ""thankful"", ""idx_1"": 30, ""idx_2"": 36, ""order"": 1}",True,False,,0.0,,2,True,58.0,,,2.519,243.0,249.5,6.5,0,default,EvaluationTrial,Info,sad,thankful,30,36,1
{},False,{},37,2023-12-15 23:12:03,False,,,EvaluationTrial,597,597,True,597,1,2,evaluations,"{""id"": 596, ""word_1"": ""happy"", ""word_2"": ""reassuring"", ""idx_1"": 19, ""idx_2"": 26, ""order"": 0}",True,False,,0.0,,3,True,62.0,,,6.143,178.0,184.5,6.5,0,default,EvaluationTrial,Info,happy,reassuring,19,26,0
{},False,{},38,2023-12-15 23:12:05,False,,,EvaluationTrial,702,702,True,702,2,1,evaluations,"{""id"": 701, ""word_1"": ""proud"", ""word_2"": ""reassuring"", ""idx_1"": 25, ""idx_2"": 26, ""order"": 0}",True,False,,0.0,,4,True,60.0,,,1.283,249.5,256.0,6.5,0,default,EvaluationTrial,Info,proud,reassuring,25,26,0
{},False,{},39,2023-12-15 23:12:07,False,,,EvaluationTrial,706,706,True,706,2,1,evaluations,"{""id"": 705, ""word_1"": ""proud"", ""word_2"": ""sad"", ""idx_1"": 25, ""idx_2"": 30, ""order"": 1}",True,False,,0.0,,2,True,63.0,,,0.894,256.0,262.5,6.5,0,default,EvaluationTrial,Info,proud,sad,25,30,1
{},False,{},40,2023-12-15 23:12:10,False,,,EvaluationTrial,529,529,True,529,1,2,evaluations,"{""id"": 528, ""word_1"": ""friendly"", ""word_2"": ""pleased"", ""idx_1"": 16, ""idx_2"": 24, ""order"": 1}",True,False,,0.0,,4,True,66.0,,,2.788,184.5,191.0,6.5,0,default,EvaluationTrial,Info,friendly,pleased,16,24,1
{},False,{},41,2023-12-15 23:12:10,False,,,EvaluationTrial,817,817,True,817,2,1,evaluations,"{""id"": 816, ""word_1"": ""uncertain"", ""word_2"": ""worried"", ""idx_1"": 37, ""idx_2"": 39, ""order"": 0}",True,False,,0.0,,5,True,65.0,,,1.336,262.5,269.0,6.5,0,default,EvaluationTrial,Info,uncertain,worried,37,39,0
{},False,{},42,2023-12-15 23:12:10,False,,,EvaluationTrial,340,340,True,340,5,4,evaluations,"{""id"": 339, ""word_1"": ""curious"", ""word_2"": ""pleased"", ""idx_1"": 9, ""idx_2"": 24, ""order"": 0}",True,False,,0.0,,2,True,75.0,,,14.708,100.0,106.5,6.5,0,default,EvaluationTrial,Info,curious,pleased,9,24,0
{},False,{},43,2023-12-15 23:12:12,False,,,EvaluationTrial,792,792,True,792,2,1,evaluations,"{""id"": 791, ""word_1"": ""shocked"", ""word_2"": ""worried"", ""idx_1"": 32, ""idx_2"": 39, ""order"": 1}",True,False,,0.0,,5,True,68.0,,,0.77,269.0,275.5,6.5,0,default,EvaluationTrial,Info,shocked,worried,32,39,1
{},False,{},44,2023-12-15 23:12:14,False,,,EvaluationTrial,734,734,True,734,1,2,evaluations,"{""id"": 733, ""word_1"": ""reflective"", ""word_2"": ""sarcastic"", ""idx_1"": 27, ""idx_2"": 31, ""order"": 1}",True,False,,0.0,,3,True,88.0,,,2.918,191.0,197.5,6.5,0,default,EvaluationTrial,Info,reflective,sarcastic,27,31,1
{},False,{},45,2023-12-15 23:12:14,False,,,EvaluationTrial,254,254,True,254,3,3,evaluations,"{""id"": 253, ""word_1"": ""appreciative"", ""word_2"": ""surprised"", ""idx_1"": 6, ""idx_2"": 34, ""order"": 0}",True,False,,0.0,,2,True,70.0,,,3.729,106.5,113.0,6.5,0,default,EvaluationTrial,Info,appreciative,surprised,6,34,0
{},False,{},46,2023-12-15 23:12:15,False,,,EvaluationTrial,434,434,True,434,2,1,evaluations,"{""id"": 433, ""word_1"": ""desperate"", ""word_2"": ""sarcastic"", ""idx_1"": 12, ""idx_2"": 31, ""order"": 0}",True,False,,0.0,,5,True,69.0,,,1.29,275.5,282.0,6.5,0,default,EvaluationTrial,Info,desperate,sarcastic,12,31,0
{},False,{},47,2023-12-15 23:12:17,False,,,EvaluationTrial,95,95,True,95,2,1,evaluations,"{""id"": 94, ""word_1"": ""angry"", ""word_2"": ""frustrated"", ""idx_1"": 2, ""idx_2"": 17, ""order"": 1}",True,False,,0.0,,5,True,71.0,,,0.858,282.0,288.5,6.5,0,default,EvaluationTrial,Info,angry,frustrated,2,17,1
{},False,{},48,2023-12-15 23:12:20,False,,,EvaluationTrial,57,57,True,57,3,3,evaluations,"{""id"": 56, ""word_1"": ""affectionate"", ""word_2"": ""frustrated"", ""idx_1"": 1, ""idx_2"": 17, ""order"": 1}",True,False,,0.0,,2,True,73.0,,,2.444,113.0,119.5,6.5,0,default,EvaluationTrial,Info,affectionate,frustrated,1,17,1
{},False,{},49,2023-12-15 23:12:20,False,,,EvaluationTrial,471,471,True,471,2,1,evaluations,"{""id"": 470, ""word_1"": ""encouraging"", ""word_2"": ""excited"", ""idx_1"": 14, ""idx_2"": 15, ""order"": 1}",True,False,,0.0,,5,True,72.0,,,0.709,288.5,295.0,6.5,0,default,EvaluationTrial,Info,encouraging,excited,14,15,1
{},False,{},50,2023-12-15 23:12:22,False,,,EvaluationTrial,726,726,True,726,2,1,evaluations,"{""id"": 725, ""word_1"": ""reassuring"", ""word_2"": ""thankful"", ""idx_1"": 26, ""idx_2"": 36, ""order"": 1}",True,False,,0.0,,5,True,74.0,,,0.384,295.0,301.5,6.5,0,default,EvaluationTrial,Info,reassuring,thankful,26,36,1
{},False,{},51,2023-12-15 23:12:23,False,,,EvaluationTrial,561,561,True,561,3,3,evaluations,"{""id"": 560, ""word_1"": ""frustrated"", ""word_2"": ""skeptical"", ""idx_1"": 17, ""idx_2"": 33, ""order"": 1}",True,False,,0.0,,4,True,78.0,,,3.606,119.5,126.0,6.5,0,default,EvaluationTrial,Info,frustrated,skeptical,17,33,1
{},False,{},52,2023-12-15 23:12:23,False,,,EvaluationTrial,641,641,True,641,2,1,evaluations,"{""id"": 640, ""word_1"": ""irritated"", ""word_2"": ""sarcastic"", ""idx_1"": 21, ""idx_2"": 31, ""order"": 0}",True,False,,0.0,,5,True,77.0,,,2.307,301.5,308.0,6.5,0,default,EvaluationTrial,Info,irritated,sarcastic,21,31,0
{},False,{},53,2023-12-15 23:12:26,False,,,EvaluationTrial,276,276,True,276,5,4,evaluations,"{""id"": 275, ""word_1"": ""concerned"", ""word_2"": ""nostalgic"", ""idx_1"": 7, ""idx_2"": 23, ""order"": 1}",True,False,,0.0,,1,True,100.0,,,24.841,106.5,113.0,6.5,0,default,EvaluationTrial,Info,concerned,nostalgic,7,23,1
{},False,{},54,2023-12-15 23:12:27,False,,,EvaluationTrial,535,535,True,535,2,1,evaluations,"{""id"": 534, ""word_1"": ""friendly"", ""word_2"": ""sad"", ""idx_1"": 16, ""idx_2"": 30, ""order"": 1}",True,False,,0.0,,1,True,79.0,,,1.135,308.0,314.5,6.5,0,default,EvaluationTrial,Info,friendly,sad,16,30,1
{},False,{},55,2023-12-15 23:12:28,False,,,EvaluationTrial,341,341,True,341,3,3,evaluations,"{""id"": 340, ""word_1"": ""curious"", ""word_2"": ""proud"", ""idx_1"": 9, ""idx_2"": 25, ""order"": 0}",True,False,,0.0,,2,True,80.0,,,2.167,126.0,132.5,6.5,0,default,EvaluationTrial,Info,curious,proud,9,25,0
{},False,{},56,2023-12-15 23:12:29,False,,,EvaluationTrial,34,34,True,34,2,1,evaluations,"{""id"": 33, ""word_1"": ""admiring"", ""word_2"": ""skeptical"", ""idx_1"": 0, ""idx_2"": 33, ""order"": 1}",True,False,,0.0,,1,True,81.0,,,1.61,314.5,321.0,6.5,0,default,EvaluationTrial,Info,admiring,skeptical,0,33,1
{},False,{},57,2023-12-15 23:12:31,False,,,EvaluationTrial,90,90,True,90,3,3,evaluations,"{""id"": 89, ""word_1"": ""angry"", ""word_2"": ""desperate"", ""idx_1"": 2, ""idx_2"": 12, ""order"": 0}",True,False,,0.0,,5,True,84.0,,,3.249,132.5,139.0,6.5,0,default,EvaluationTrial,Info,angry,desperate,2,12,0
{},False,{},58,2023-12-15 23:12:32,False,,,EvaluationTrial,161,161,True,161,2,1,evaluations,"{""id"": 160, ""word_1"": ""anxious"", ""word_2"": ""defensive"", ""idx_1"": 4, ""idx_2"": 10, ""order"": 1}",True,False,,0.0,,4,True,82.0,,,1.002,321.0,327.5,6.5,0,default,EvaluationTrial,Info,anxious,defensive,4,10,1
{},False,{},59,2023-12-15 23:12:34,False,,,EvaluationTrial,661,661,True,661,2,1,evaluations,"{""id"": 660, ""word_1"": ""joyful"", ""word_2"": ""skeptical"", ""idx_1"": 22, ""idx_2"": 33, ""order"": 1}",True,False,,0.0,,1,True,86.0,,,1.683,327.5,334.0,6.5,0,default,EvaluationTrial,Info,joyful,skeptical,22,33,1
{},False,{},60,2023-12-15 23:12:35,False,,,EvaluationTrial,494,494,True,494,3,3,evaluations,"{""id"": 493, ""word_1"": ""encouraging"", ""word_2"": ""urgent"", ""idx_1"": 14, ""idx_2"": 38, ""order"": 0}",True,False,,0.0,,2,True,87.0,,,2.224,139.0,145.5,6.5,0,default,EvaluationTrial,Info,encouraging,urgent,14,38,0
{},False,{},61,2023-12-15 23:12:37,False,,,EvaluationTrial,306,306,True,306,2,1,evaluations,"{""id"": 305, ""word_1"": ""confused"", ""word_2"": ""irritated"", ""idx_1"": 8, ""idx_2"": 21, ""order"": 1}",True,False,,0.0,,4,True,89.0,,,1.264,334.0,340.5,6.5,0,default,EvaluationTrial,Info,confused,irritated,8,21,1
{},False,{},62,2023-12-15 23:12:38,False,,,EvaluationTrial,316,316,True,316,3,3,evaluations,"{""id"": 315, ""word_1"": ""confused"", ""word_2"": ""sarcastic"", ""idx_1"": 8, ""idx_2"": 31, ""order"": 1}",True,False,,0.0,,1,True,90.0,,,2.405,145.5,152.0,6.5,0,default,EvaluationTrial,Info,confused,sarcastic,8,31,1
{},False,{},63,2023-12-15 23:12:40,False,,,EvaluationTrial,352,352,True,352,1,2,evaluations,"{""id"": 351, ""word_1"": ""curious"", ""word_2"": ""thankful"", ""idx_1"": 9, ""idx_2"": 36, ""order"": 1}",True,False,,0.0,,1,True,93.0,,,4.185,197.5,204.0,6.5,0,default,EvaluationTrial,Info,curious,thankful,9,36,1
{},False,{},64,2023-12-15 23:12:40,False,,,EvaluationTrial,126,126,True,126,2,1,evaluations,"{""id"": 125, ""word_1"": ""annoyed"", ""word_2"": ""descriptive"", ""idx_1"": 3, ""idx_2"": 11, ""order"": 1}",True,False,,0.0,,3,True,91.0,,,1.644,340.5,347.0,6.5,0,default,EvaluationTrial,Info,annoyed,descriptive,3,11,1
{},False,{},65,2023-12-15 23:12:41,False,,,EvaluationTrial,328,328,True,328,3,3,evaluations,"{""id"": 327, ""word_1"": ""curious"", ""word_2"": ""desperate"", ""idx_1"": 9, ""idx_2"": 12, ""order"": 1}",True,False,,0.0,,2,True,95.0,,,5.486,152.0,158.5,6.5,0,default,EvaluationTrial,Info,curious,desperate,9,12,1
{},False,{},66,2023-12-15 23:12:43,False,,,EvaluationTrial,53,53,True,53,2,1,evaluations,"{""id"": 52, ""word_1"": ""affectionate"", ""word_2"": ""disappointed"", ""idx_1"": 1, ""idx_2"": 13, ""order"": 0}",True,False,,0.0,,2,True,92.0,,,1.157,347.0,353.5,6.5,0,default,EvaluationTrial,Info,affectionate,disappointed,1,13,0
{},False,{},67,2023-12-15 23:12:45,False,,,EvaluationTrial,553,553,True,553,2,1,evaluations,"{""id"": 552, ""word_1"": ""frustrated"", ""word_2"": ""proud"", ""idx_1"": 17, ""idx_2"": 25, ""order"": 0}",True,False,,0.0,,2,True,96.0,,,1.086,353.5,360.0,6.5,0,default,EvaluationTrial,Info,frustrated,proud,17,25,0
{},False,{},68,2023-12-15 23:12:45,False,,,EvaluationTrial,495,495,True,495,1,2,evaluations,"{""id"": 494, ""word_1"": ""encouraging"", ""word_2"": ""worried"", ""idx_1"": 14, ""idx_2"": 39, ""order"": 1}",True,False,,0.0,,2,True,160.0,,,5.112,204.0,210.5,6.5,0,default,EvaluationTrial,Info,encouraging,worried,14,39,1
{},False,{},69,2023-12-15 23:12:47,False,,,EvaluationTrial,513,513,True,513,3,3,evaluations,"{""id"": 512, ""word_1"": ""excited"", ""word_2"": ""shocked"", ""idx_1"": 15, ""idx_2"": 32, ""order"": 0}",True,False,,0.0,,5,True,99.0,,,2.187,158.5,165.0,6.5,0,default,EvaluationTrial,Info,excited,shocked,15,32,0
{},False,{},70,2023-12-15 23:12:48,False,,,EvaluationTrial,579,579,True,579,2,1,evaluations,"{""id"": 578, ""word_1"": ""grateful"", ""word_2"": ""resigned"", ""idx_1"": 18, ""idx_2"": 29, ""order"": 1}",True,False,,0.0,,2,True,98.0,,,0.754,360.0,366.5,6.5,0,default,EvaluationTrial,Info,grateful,resigned,18,29,1
{},False,{},71,2023-12-15 23:12:50,False,,,EvaluationTrial,199,199,True,199,2,1,evaluations,"{""id"": 198, ""word_1"": ""apologetic"", ""word_2"": ""disappointed"", ""idx_1"": 5, ""idx_2"": 13, ""order"": 1}",True,False,,0.0,,2,True,102.0,,,3.66,366.5,373.0,6.5,0,default,EvaluationTrial,Info,apologetic,disappointed,5,13,1
{},False,{},72,2023-12-15 23:12:51,False,,,EvaluationTrial,233,233,True,233,3,3,evaluations,"{""id"": 232, ""word_1"": ""appreciative"", ""word_2"": ""disappointed"", ""idx_1"": 6, ""idx_2"": 13, ""order"": 0}",True,False,,0.0,,1,True,101.0,,,2.291,165.0,171.5,6.5,0,default,EvaluationTrial,Info,appreciative,disappointed,6,13,0
